TCS_Name,B_mag,V_mag,R_mag,I_mag,Name
114-750,11.916,11.875,11.889,11.904,SA114_750
114-670,11.101,12.307,10.456,9.895,SA114_670
114-176,9.239,10.724,8.439,7.722,SA114_176
G156-57,10.18,11.736,9.006,7.464,G156-57
GD-246,13.094,12.776,13.242,13.425,GD_246
F-108,12.958,12.723,13.061,13.196,F_108
2317+046,12.876,12.63,12.95,12.985,PG2317_046
2331+055,15.182,15.116,15.194,15.225,PG2331_055A
2331+055,13.051,13.792,12.632,12.231,PG2331_055B
2331+055,14.744,15.563,14.263,13.809,PG2331_055C
2336+004,12.431,12.938,12.117,11.801,PG2336_004A
2336+004,11.277,11.956,10.879,10.507,PG2336_004B
2336+004,15.899,15.727,15.96,16.008,PG2336_004C
115-554,11.812,12.817,11.226,10.688,SA115_554
115-486,12.482,12.975,12.184,11.876,SA115_486
115-412,12.209,12.782,11.882,11.547,SA115_412
115-268,12.494,13.128,12.128,11.78,SA115_268
115-420,11.161,11.629,10.875,10.582,SA115_420
115-271,9.695,10.31,9.342,8.993,SA115_271
115-516,10.434,11.462,9.871,9.337,SA115_516
2349+002,13.277,13.086,13.38,13.496,PG2349_002
