TCS_Name,B_mag,V_mag,R_mag,I_mag,Name
107-602,12.116,13.107,11.571,11.04,SA107_602
107-612,14.256,15.152,13.705,13.175,SA107_612
107-611,14.329,15.219,13.809,13.362,SA107_611
107-614,13.926,14.548,13.565,13.195,SA107_614
107-626,13.468,14.468,12.868,12.341,SA107_626
107-627,13.349,14.128,12.884,12.43,SA107_627
107-484,11.311,12.548,10.647,10.07,SA107_484
107-636,14.873,15.624,14.441,13.976,SA107_636
107-639,14.197,14.837,13.798,13.394,SA107_639
107-640,15.05,15.805,14.539,14.033,SA107_640
G153-41,13.422,13.217,13.557,13.711,G153-41
G138-25,13.513,14.932,12.63,11.834,G138-25
-4535,10.069,11.637,8.917,7.419,BD-12_4523
1633+099,14.397,14.205,14.49,14.606,PG1633_099A
1633+099,15.256,16.129,14.751,14.24,PG1633_099B
1633+099,12.969,14.05,12.379,11.877,PG1633_099C
1633+099,13.229,14.363,12.611,12.088,PG1633_099D
1633+099,13.691,14.226,13.367,13.04,PG1633_099E
108-719,12.69,13.721,12.137,11.604,SA108_719
108-1848,11.738,12.297,11.407,11.082,SA108_1848
108-475,11.309,12.689,10.565,9.9,SA108_475
108-1863,12.244,13.047,11.798,11.4,SA108_1863
108-551,10.703,10.882,10.604,10.494,SA108_551
108-1918,11.384,12.816,10.611,9.95,SA108_1918
108-981,12.071,12.565,11.761,11.449,SA108_981
1647+056,14.773,14.6,14.831,14.853,PG1647_056
W629,11.759,13.436,10.574,9.049,WOLF_629
1657+078,15.015,14.866,15.078,15.111,PG1657_078A
1657+078,14.721,15.429,14.304,13.884,PG1657_078B
1657+078,14.033,15.102,13.46,12.921,PG1657_078C
1657+078,15.225,16.065,14.704,14.26,PG1657_078D
-4230,10.071,11.486,9.101,7.96,BD-4_4226
109-71,11.493,11.816,11.307,11.084,SA109_71
109-381,11.73,12.434,11.302,10.867,SA109_381
109-949,12.828,13.634,12.328,11.811,SA109_949
